DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,18-Jan,15,6,Battlestar Galactica - Season 4.0,"77,578",-53%,"244,056","$2,481,720 ","$8,664,713 ",2
dvd,2009,18-Jan,16,20,Kung Fu Panda,"68,869",-11%,"7,768,617","$1,117,820 ","$119,429,888 ",11
dvd,2009,18-Jan,17,13,Disaster Movie,"66,383",-25%,"154,405","$1,456,443 ","$3,387,646 ",2
dvd,2009,18-Jan,18,18,Wanted,"65,450",-17%,"3,771,050","$1,071,194 ","$63,456,552 ",7
dvd,2009,18-Jan,19,17,Step Brothers,"62,995",-21%,"2,938,104","$1,076,288 ","$51,738,715 ",7
dvd,2009,18-Jan,20,11,Horton Hears a Who!,"60,664",-35%,"3,653,613","$1,015,424 ","$61,940,530 ",6
dvd,2009,18-Jan,21,new,Without a Paddle: Nature's Calling,"60,344",,"60,344","$1,206,277 ","$1,206,277 ",1
dvd,2009,18-Jan,22,25,Burn After Reading,"56,318",-17%,"952,039","$956,843 ","$16,175,143 ",4
dvd,2009,18-Jan,23,16,"Mummy: Tomb of the Dragon Emperor, The","53,175",-34%,"2,348,651","$870,028 ","$38,561,338 ",5
dvd,2009,18-Jan,24,24,Death Race,"53,028",-23%,"956,912","$1,113,058 ","$20,085,583 ",4
dvd,2009,18-Jan,25,9,"Duchess, The","52,648",-54%,"323,502","$894,490 ","$5,496,299 ",4
dvd,2009,18-Jan,26,23,Indiana Jones and the Kingdom of the Crystal Skull,"47,882",-31%,"5,528,459","$794,841 ","$106,896,015 ",14
dvd,2009,18-Jan,27,21,Traitor,"41,989",-41%,"755,048","$641,592 ","$11,440,990 ",5
dvd,2009,18-Jan,28,30,Tropic Thunder,"41,391",-28%,"2,695,392","$790,725 ","$45,799,159 ",9
dvd,2009,18-Jan,29,28,"Chronicles of Narnia: Prince Caspian, The","36,062",-44%,"4,727,517","$555,120 ","$75,073,830 ",7
dvd,2009,18-Jan,30,12,Iron Man,"34,903",-62%,"8,635,515","$553,237 ","$155,197,283 ",16
dvd,2009,25-Jan,1,new,Max Payne,"543,235",,"543,235","$10,586,998 ","$10,586,998 ",1
dvd,2009,25-Jan,2,new,Saw V,"515,095",,"515,095","$11,326,939 ","$11,326,939 ",1
dvd,2009,25-Jan,3,2,Pineapple Express,"203,930",-50%,"1,752,127","$3,594,429 ","$30,182,719 ",3
dvd,2009,25-Jan,4,new,Igor,"175,573",,"175,573","$3,509,704 ","$3,509,704 ",1
dvd,2009,25-Jan,5,1,Tyler Perry's The Family That Preys,"168,566",-66%,"659,567","$3,451,625 ","$14,227,820 ",2
dvd,2009,25-Jan,6,3,My Best Friend's Girl,"134,451",-50%,"404,158","$2,697,746 ","$8,628,603 ",2
dvd,2009,25-Jan,7,9,The Dark Knight,"119,264",-10%,"11,833,378","$1,937,718 ","$206,056,413 ",7
dvd,2009,25-Jan,8,4,Appaloosa,"117,339",-54%,"374,967","$1,842,222 ","$6,366,170 ",2
dvd,2009,25-Jan,9,new,City of Ember,"105,225",,"105,225","$2,103,448 ","$2,103,448 ",1
dvd,2009,25-Jan,10,5,Mirrors,"103,160",-57%,"344,781","$1,576,285 ","$5,681,426 ",2
dvd,2009,25-Jan,11,new,"Express, The","97,511",,"97,511","$1,949,245 ","$1,949,245 ",1
dvd,2009,25-Jan,12,11,Eagle Eye,"94,414",-25%,"1,712,343","$1,462,643 ","$29,961,821 ",5
dvd,2009,25-Jan,13,13,Mamma Mia!,"88,578",-23%,"5,376,974","$1,701,902 ","$114,994,605 ",6
dvd,2009,25-Jan,14,6,Righteous Kill,"80,562",-58%,"712,558","$1,207,624 ","$12,003,921 ",3
dvd,2009,25-Jan,15,14,WALL-E,"71,598",-13%,"7,835,619","$1,125,642 ","$123,538,618 ",10
dvd,2009,25-Jan,16,8,Bangkok Dangerous (2008),"67,904",-53%,"533,529","$1,373,161 ","$10,781,614 ",3
dvd,2009,25-Jan,17,18,Wanted,"63,721",-3%,"3,834,771","$978,723 ","$64,435,275 ",8
dvd,2009,25-Jan,18,19,Step Brothers,"62,037",-2%,"3,000,141","$950,760 ","$52,689,476 ",8
dvd,2009,25-Jan,19,16,Kung Fu Panda,"60,071",-13%,"7,828,688","$985,032 ","$120,414,920 ",12
dvd,2009,25-Jan,20,20,Horton Hears a Who!,"58,298",-4%,"3,711,911","$877,869 ","$62,818,399 ",7
dvd,2009,25-Jan,21,10,Babylon A.D.,"58,126",-55%,"510,941","$1,214,171 ","$10,614,402 ",3
dvd,2009,25-Jan,22,new,Moonlight - The Complete Series,"56,931",,"56,931","$1,479,637 ","$1,479,637 ",1
dvd,2009,25-Jan,23,7,Swing Vote,"56,496",-63%,"207,871","$1,172,292 ","$4,311,810 ",2
dvd,2009,25-Jan,24,23,"Mummy: Tomb of the Dragon Emperor, The","56,496",6%,"2,405,147","$861,604 ","$39,422,942 ",6
dvd,2009,25-Jan,25,22,Burn After Reading,"49,523",-12%,"1,001,562","$841,396 ","$17,016,538 ",5
dvd,2009,25-Jan,26,12,Tyler Perry's Marriage Counselor,"46,287",-62%,"167,859","$647,555 ","$2,348,347 ",2
dvd,2009,25-Jan,27,28,Tropic Thunder,"45,469",10%,"2,740,861","$703,828 ","$46,502,987 ",10
dvd,2009,25-Jan,28,24,Death Race,"44,107",-17%,"1,001,019","$881,699 ","$20,967,282 ",5
dvd,2009,25-Jan,29,17,Disaster Movie,"41,394",-38%,"195,799","$921,844 ","$4,309,490 ",3
dvd,2009,25-Jan,30,25,"Duchess, The","40,886",-22%,"364,388","$694,653 ","$6,190,952 ",5
dvd,2009,1-Feb,1,new,Open Season 2,"553,681",,"553,681","$11,068,083 ","$11,068,083 ",1
dvd,2009,1-Feb,2,new,Fireproof,"549,363",,"549,363","$9,009,553 ","$9,009,553 ",1
dvd,2009,1-Feb,3,new,Lakeview Terrace,"501,912",,"501,912","$8,306,644 ","$8,306,644 ",1
dvd,2009,1-Feb,4,1,Max Payne,"238,747",-56%,"781,982","$4,840,476 ","$15,427,474 ",2
dvd,2009,1-Feb,5,new,Pride and Glory,"231,051",,"231,051","$4,369,174 ","$4,369,174 ",1
dvd,2009,1-Feb,6,2,Saw V,"207,298",-60%,"722,393","$4,249,381 ","$15,576,320 ",2
dvd,2009,1-Feb,7,new,Hulk VS.,"178,894",,"178,894","$3,014,221 ","$3,014,221 ",1
